field,base_field,elasticsearch_type,category,human_name_en,meaning_en,unit_or_value_hint,preferred_esql_field,agent_notes,confidence
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling,object,Equipment,Vehicle Equipment Collection,"Container object for equipment fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur,object,Equipment,Vehicle Equipment Structure,"Container object for equipment fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrAntal,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrAntal,long,Equipment,Equipment count,Number/count associated with an equipment item.,,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrAntal,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur,object,Equipment,Vehicle Equipment Type Structure,"Container object for equipment fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn,text,Equipment,Equipment type name,Name of a registered equipment item or equipment type on the vehicle.,,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn,keyword,Equipment,Equipment type name (keyword),"Keyword/exact-match representation of equipment type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNavn.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNummer,long,Equipment,Equipment type code,Numeric code for a registered equipment type.,,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeNummer,"Numeric code, not a metric.",inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedForespoergsel,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedForespoergsel,boolean,Equipment,Equipment shown on lookup flag,Boolean controlling whether this equipment type is shown during lookup/query.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedForespoergsel,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedStandardOprettelse,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedStandardOprettelse,boolean,Equipment,Equipment shown at standard creation flag,Boolean controlling whether this equipment type is shown by default during vehicle creation.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedStandardOprettelse,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedSyn,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedSyn,boolean,Equipment,Equipment shown at inspection flag,Boolean controlling whether this equipment type is shown during inspection workflows.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejUdstyrSamlingStruktur.KoeretoejUdstyrSamling.KoeretoejUdstyrStruktur.KoeretoejUdstyrTypeStruktur.KoeretoejUdstyrTypeVisesVedSyn,,inferred
SynResultatStruktur,SynResultatStruktur,object,Inspection / roadworthiness,Inspection Result Structure,"Container object for inspection / roadworthiness fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
SynResultatStruktur.KoeretoejMotorKilometerstand,SynResultatStruktur.KoeretoejMotorKilometerstand,long,Inspection / roadworthiness,Odometer reading,Registered odometer reading in kilometres.,km,SynResultatStruktur.KoeretoejMotorKilometerstand,,official/inferred
SynResultatStruktur.SynResultatSynStatus,SynResultatStruktur.SynResultatSynStatus,text,Inspection / roadworthiness,Inspection status,Status of the latest or relevant inspection record.,,SynResultatStruktur.SynResultatSynStatus.keyword,For exact matching use `SynResultatStruktur.SynResultatSynStatus.keyword`.,inferred
SynResultatStruktur.SynResultatSynStatus.keyword,SynResultatStruktur.SynResultatSynStatus,keyword,Inspection / roadworthiness,Inspection status (keyword),"Keyword/exact-match representation of inspection status. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,SynResultatStruktur.SynResultatSynStatus.keyword,Use for terms/grouping/exact matching.,inferred
SynResultatStruktur.SynResultatSynStatusDato,SynResultatStruktur.SynResultatSynStatusDato,date,Inspection / roadworthiness,Inspection status date,Date when the inspection status was set.,date,SynResultatStruktur.SynResultatSynStatusDato,,inferred
SynResultatStruktur.SynResultatSynsDato,SynResultatStruktur.SynResultatSynsDato,date,Inspection / roadworthiness,Inspection date,Date of the vehicle inspection.,date,SynResultatStruktur.SynResultatSynsDato,,inferred
SynResultatStruktur.SynResultatSynsResultat,SynResultatStruktur.SynResultatSynsResultat,text,Inspection / roadworthiness,Inspection result,Result/outcome of the vehicle inspection.,,SynResultatStruktur.SynResultatSynsResultat.keyword,For exact matching use `SynResultatStruktur.SynResultatSynsResultat.keyword`.,inferred
SynResultatStruktur.SynResultatSynsResultat.keyword,SynResultatStruktur.SynResultatSynsResultat,keyword,Inspection / roadworthiness,Inspection result (keyword),"Keyword/exact-match representation of inspection result. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,SynResultatStruktur.SynResultatSynsResultat.keyword,Use for terms/grouping/exact matching.,inferred
SynResultatStruktur.SynResultatSynsType,SynResultatStruktur.SynResultatSynsType,text,Inspection / roadworthiness,Inspection type,"Type of inspection, for example periodic inspection, registration inspection, customs inspection, etc.",,SynResultatStruktur.SynResultatSynsType.keyword,For exact matching use `SynResultatStruktur.SynResultatSynsType.keyword`.,inferred
SynResultatStruktur.SynResultatSynsType.keyword,SynResultatStruktur.SynResultatSynsType,keyword,Inspection / roadworthiness,Inspection type (keyword),"Keyword/exact-match representation of inspection type. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,SynResultatStruktur.SynResultatSynsType.keyword,Use for terms/grouping/exact matching.,inferred
TilladelseSamling,TilladelseSamling,object,"Permits, exemptions and coupling permissions",Permit Collection,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse,TilladelseSamling.Tilladelse,object,"Permits, exemptions and coupling permissions",Permit,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur,TilladelseSamling.Tilladelse.TilladelseStruktur,object,"Permits, exemptions and coupling permissions",Permit Structure,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigFra,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigFra,date,"Permits, exemptions and coupling permissions",Permit valid from,Start date for a vehicle permission/dispensation/permit.,date,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigFra,,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigTil,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigTil,date,"Permits, exemptions and coupling permissions",Permit valid to,End date for a vehicle permission/dispensation/permit.,date,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseGyldigTil,,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar,text,"Permits, exemptions and coupling permissions",Permit comment,Free-text comment attached to a permission/dispensation/permit.,,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar.keyword,For exact matching use `TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar.keyword`.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar.keyword,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar,keyword,"Permits, exemptions and coupling permissions",Permit comment (keyword),"Keyword/exact-match representation of permit comment. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseKommentar.keyword,Use for terms/grouping/exact matching.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg,object,"Permits, exemptions and coupling permissions",Permit Type Detail Choice,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling,object,"Permits, exemptions and coupling permissions",Fixed Coupling,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejIdent,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejIdent,long,"Permits, exemptions and coupling permissions",Vehicle ID,"Unique DMR vehicle identifier. Treat as an identifier, not a measure.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejIdent,,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer,text,"Permits, exemptions and coupling permissions",VIN / chassis number,Vehicle Identification Number/chassis number. Sensitive identifier; avoid exposing raw values in public dashboards.,,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer.keyword,For exact matching use `TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer.keyword,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer,keyword,"Permits, exemptions and coupling permissions",VIN / chassis number (keyword),"Keyword/exact-match representation of vin / chassis number. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.FastTilkobling.KoeretoejOplysningStelNummer.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination,object,"Permits, exemptions and coupling permissions",Variable Combination,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur,object,"Permits, exemptions and coupling permissions",Vehicle General Identifier Structure,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg,object,"Permits, exemptions and coupling permissions",Vehicle General Identifier Choice,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejIdent,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejIdent,long,"Permits, exemptions and coupling permissions",Vehicle ID,"Unique DMR vehicle identifier. Treat as an identifier, not a measure.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejIdent,,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer,text,"Permits, exemptions and coupling permissions",VIN / chassis number,Vehicle Identification Number/chassis number. Sensitive identifier; avoid exposing raw values in public dashboards.,,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer.keyword,For exact matching use `TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer.keyword,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer,keyword,"Permits, exemptions and coupling permissions",VIN / chassis number (keyword),"Keyword/exact-match representation of vin / chassis number. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.KoeretoejOplysningStelNummer.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer,text,"Permits, exemptions and coupling permissions",Registration number / licence plate,The vehicle registration number/licence plate number.,,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer.keyword,For exact matching use `TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer.keyword`. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer.keyword,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer,keyword,"Permits, exemptions and coupling permissions",Registration number / licence plate (keyword),"Keyword/exact-match representation of registration number / licence plate. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeDetaljeValg.VariabelKombination.KoeretoejGenerelIdentifikatorStruktur.KoeretoejGenerelIdentifikatorValg.RegistreringNummerNummer.keyword,Use for terms/grouping/exact matching. Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur,object,"Permits, exemptions and coupling permissions",Permit Type Structure,"Container object for permits, exemptions and coupling permissions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn,text,"Permits, exemptions and coupling permissions",Permit type name,"Name of a permission, dispensation, exemption, or special permit associated with the vehicle.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn.keyword,For exact matching use `TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn.keyword`.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn.keyword,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn,keyword,"Permits, exemptions and coupling permissions",Permit type name (keyword),"Keyword/exact-match representation of permit type name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNavn.keyword,Use for terms/grouping/exact matching.,official/inferred
TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNummer,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNummer,long,"Permits, exemptions and coupling permissions",Permit type code,"Numeric code for a permission, dispensation, exemption, or special permit.",,TilladelseSamling.Tilladelse.TilladelseStruktur.TilladelseTypeStruktur.TilladelseTypeNummer,"Numeric code, not a metric.",inferred
LeasingGyldigFra,LeasingGyldigFra,date,Leasing,Leasing valid from,Start date for a leasing period registered on the vehicle.,date,LeasingGyldigFra,,inferred
LeasingGyldigTil,LeasingGyldigTil,date,Leasing,Leasing valid to,End date for a leasing period registered on the vehicle.,date,LeasingGyldigTil,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur,object,Blocking / administrative restrictions,Vehicle Block Reason List Structure,"Container object for blocking / administrative restrictions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe,object,Blocking / administrative restrictions,Vehicle Block Reason List,"Container object for blocking / administrative restrictions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag,object,Blocking / administrative restrictions,Vehicle Block Reason,"Container object for blocking / administrative restrictions fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn,text,Blocking / administrative restrictions,Vehicle block reason name,Human-readable reason why a vehicle is blocked/restricted in the register.,,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn.keyword,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn,keyword,Blocking / administrative restrictions,Vehicle block reason name (keyword),"Keyword/exact-match representation of vehicle block reason name. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNavn.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNummer,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNummer,long,Blocking / administrative restrictions,Vehicle block reason code,Numeric code for the reason why a vehicle is blocked/restricted.,,KoeretoejOplysningGrundStruktur.KoeretoejBlokeringAarsagListeStruktur.KoeretoejBlokeringAarsagListe.KoeretoejBlokeringAarsag.KoeretoejBlokeringAarsagTypeNummer,"Numeric code, not a metric.",inferred
_co2_g_per_km_primaer,_co2_g_per_km_primaer,float,Derived convenience fields,Primary CO2 g/km,Derived convenience numeric field for primary CO2 emissions in grams per kilometre.,g/km,_co2_g_per_km_primaer,Internal/derived field; confirm whether it was created by your ingest pipeline.,inferred
_drivkraft_primaer,_drivkraft_primaer,keyword,Derived convenience fields,Primary fuel / propulsion,Derived convenience field for the primary fuel/propulsion type. Prefer this for simple fuel dashboards.,,_drivkraft_primaer,Internal/derived field; confirm whether it was created by your ingest pipeline.,inferred
_foerste_registrering_aar,_foerste_registrering_aar,integer,Derived convenience fields,First registration year,Derived integer year extracted from the first registration date.,,_foerste_registrering_aar,Internal/derived field; confirm whether it was created by your ingest pipeline.,inferred
